,date,supply
186,2013-10-31,11923350.0
187,2013-11-01,11923350.0
188,2013-11-02,11938750.0
189,2013-11-03,11938750.0
190,2013-11-04,11938750.0
191,2013-11-05,11952900.0
192,2013-11-06,11952900.0
193,2013-11-07,11952900.0
194,2013-11-08,11964125.0
195,2013-11-09,11964125.0
196,2013-11-10,11964125.0
197,2013-11-11,11976750.0
198,2013-11-12,11976750.0
199,2013-11-13,11976750.0
200,2013-11-14,11990400.0
201,2013-11-15,11990400.0
202,2013-11-16,11990400.0
203,2013-11-17,12004200.0
204,2013-11-18,12004200.0
205,2013-11-19,12004200.0
206,2013-11-20,12016250.0
207,2013-11-21,12016250.0
208,2013-11-22,12016250.0
209,2013-11-23,12028150.0
210,2013-11-24,12028150.0
211,2013-11-25,12028150.0
212,2013-11-26,12041050.0
213,2013-11-27,12041050.0
214,2013-11-28,12041050.0
215,2013-11-29,12054375.0
216,2013-11-30,12054375.0
217,2013-12-01,12054375.0
218,2013-12-02,12067325.0
219,2013-12-03,12067325.0
220,2013-12-04,12067325.0
221,2013-12-05,12080775.0
222,2013-12-06,12080775.0
223,2013-12-07,12080775.0
224,2013-12-08,12095325.0
225,2013-12-09,12095325.0
226,2013-12-10,12095325.0
227,2013-12-11,12109175.0
228,2013-12-12,12109175.0
229,2013-12-13,12109175.0
230,2013-12-14,12122475.0
231,2013-12-15,12122475.0
232,2013-12-16,12122475.0
233,2013-12-17,12136675.0
234,2013-12-18,12136675.0
235,2013-12-19,12136675.0
236,2013-12-20,12152375.0
237,2013-12-21,12152375.0
238,2013-12-22,12152375.0
239,2013-12-23,12164575.0
240,2013-12-24,12164575.0
241,2013-12-25,12164575.0
242,2013-12-26,12177500.0
243,2013-12-27,12177500.0
244,2013-12-28,12177500.0
245,2013-12-29,12189725.0
246,2013-12-30,12189725.0
247,2013-12-31,12189725.0
248,2014-01-01,12203800.0
249,2014-01-02,12203800.0
250,2014-01-03,12203800.0
251,2014-01-04,12215225.0
252,2014-01-05,12215225.0
253,2014-01-06,12215225.0
254,2014-01-07,12228825.0
255,2014-01-08,12228825.0
256,2014-01-09,12228825.0
257,2014-01-10,12243325.0
258,2014-01-11,12243325.0
259,2014-01-12,12243325.0
260,2014-01-13,12258325.0
261,2014-01-14,12258325.0
262,2014-01-15,12258325.0
263,2014-01-16,12271450.0
264,2014-01-17,12271450.0
265,2014-01-18,12271450.0
266,2014-01-19,12283950.0
267,2014-01-20,12283950.0
268,2014-01-21,12283950.0
269,2014-01-22,12297575.0
270,2014-01-23,12297575.0
271,2014-01-24,12297575.0
272,2014-01-25,12310800.0
273,2014-01-26,12310800.0
274,2014-01-27,12310800.0
275,2014-01-28,12322975.0
276,2014-01-29,12322975.0
277,2014-01-30,12322975.0
278,2014-01-31,12335525.0
279,2014-02-01,12335525.0
280,2014-02-02,12335525.0
281,2014-02-03,12349750.0
282,2014-02-04,12349750.0
283,2014-02-05,12349750.0
284,2014-02-06,12362425.0
285,2014-02-07,12362425.0
286,2014-02-08,12362425.0
287,2014-02-09,12374700.0
288,2014-02-10,12374700.0
289,2014-02-11,12374700.0
290,2014-02-12,12386875.0
291,2014-02-13,12386875.0
292,2014-02-14,12386875.0
293,2014-02-15,12400650.0
294,2014-02-16,12400650.0
295,2014-02-17,12400650.0
296,2014-02-18,12413800.0
297,2014-02-19,12413800.0
298,2014-02-20,12413800.0
299,2014-02-21,12427050.0
300,2014-02-22,12427050.0
301,2014-02-23,12427050.0
302,2014-02-24,12440250.0
303,2014-02-25,12440250.0
304,2014-02-26,12440250.0
305,2014-02-27,12453575.0
306,2014-02-28,12453575.0
307,2014-03-01,12453575.0
308,2014-03-02,12465700.0
309,2014-03-03,12465700.0
310,2014-03-04,12465700.0
311,2014-03-05,12476750.0
312,2014-03-06,12476750.0
313,2014-03-07,12476750.0
314,2014-03-08,12489350.0
315,2014-03-09,12489350.0
316,2014-03-10,12489350.0
317,2014-03-11,12501775.0
318,2014-03-12,12501775.0
319,2014-03-13,12501775.0
320,2014-03-14,12513675.0
321,2014-03-15,12513675.0
322,2014-03-16,12513675.0
323,2014-03-17,12526450.0
324,2014-03-18,12526450.0
325,2014-03-19,12526450.0
326,2014-03-20,12538125.0
327,2014-03-21,12538125.0
328,2014-03-22,12538125.0
329,2014-03-23,12552175.0
330,2014-03-24,12552175.0
331,2014-03-25,12552175.0
332,2014-03-26,12564875.0
333,2014-03-27,12564875.0
334,2014-03-28,12564875.0
335,2014-03-29,12577900.0
336,2014-03-30,12577900.0
337,2014-03-31,12577900.0
338,2014-04-01,12590300.0
339,2014-04-02,12590300.0
340,2014-04-03,12590300.0
341,2014-04-04,12605150.0
342,2014-04-05,12605150.0
343,2014-04-06,12605150.0
344,2014-04-07,12616825.0
345,2014-04-08,12616825.0
346,2014-04-09,12616825.0
347,2014-04-10,12628725.0
348,2014-04-11,12628725.0
349,2014-04-12,12628725.0
350,2014-04-13,12641425.0
351,2014-04-14,12641425.0
352,2014-04-15,12641425.0
353,2014-04-16,12654575.0
354,2014-04-17,12654575.0
355,2014-04-18,12654575.0
356,2014-04-19,12666900.0
357,2014-04-20,12666900.0
358,2014-04-21,12666900.0
359,2014-04-22,12679425.0
360,2014-04-23,12679425.0
361,2014-04-24,12679425.0
362,2014-04-25,12691575.0
363,2014-04-26,12691575.0
364,2014-04-27,12691575.0
365,2014-04-28,12704350.0
366,2014-04-29,12704350.0
367,2014-04-30,12704350.0
368,2014-05-01,12716150.0
369,2014-05-02,12716150.0
370,2014-05-03,12716150.0
371,2014-05-04,12727800.0
372,2014-05-05,12727800.0
373,2014-05-06,12727800.0
374,2014-05-07,12739650.0
375,2014-05-08,12739650.0
376,2014-05-09,12739650.0
377,2014-05-10,12752125.0
378,2014-05-11,12752125.0
379,2014-05-12,12752125.0
380,2014-05-13,12764450.0
381,2014-05-14,12764450.0
382,2014-05-15,12764450.0
383,2014-05-16,12776900.0
384,2014-05-17,12776900.0
385,2014-05-18,12776900.0
386,2014-05-19,12789750.0
387,2014-05-20,12789750.0
388,2014-05-21,12789750.0
389,2014-05-22,12802850.0
390,2014-05-23,12802850.0
391,2014-05-24,12802850.0
392,2014-05-25,12814775.0
393,2014-05-26,12814775.0
394,2014-05-27,12814775.0
395,2014-05-28,12826650.0
396,2014-05-29,12826650.0
397,2014-05-30,12826650.0
398,2014-05-31,12837800.0
399,2014-06-01,12837800.0
400,2014-06-02,12837800.0
401,2014-06-03,12851450.0
402,2014-06-04,12851450.0
403,2014-06-05,12851450.0
404,2014-06-06,12863350.0
405,2014-06-07,12863350.0
406,2014-06-08,12863350.0
407,2014-06-09,12874325.0
408,2014-06-10,12874325.0
409,2014-06-11,12874325.0
410,2014-06-12,12886275.0
411,2014-06-13,12886275.0
412,2014-06-14,12886275.0
413,2014-06-15,12899525.0
414,2014-06-16,12899525.0
415,2014-06-17,12899525.0
416,2014-06-18,12913300.0
417,2014-06-19,12913300.0
418,2014-06-20,12913300.0
419,2014-06-21,12926425.0
420,2014-06-22,12926425.0
421,2014-06-23,12926425.0
422,2014-06-24,12940150.0
423,2014-06-25,12940150.0
424,2014-06-26,12940150.0
425,2014-06-27,12953750.0
426,2014-06-28,12953750.0
427,2014-06-29,12953750.0
428,2014-06-30,12965900.0
429,2014-07-01,12965900.0
430,2014-07-02,12965900.0
431,2014-07-03,12976150.0
432,2014-07-04,12976150.0
433,2014-07-05,12976150.0
434,2014-07-06,12987675.0
435,2014-07-07,12987675.0
436,2014-07-08,12987675.0
437,2014-07-09,12999175.0
438,2014-07-10,12999175.0
439,2014-07-11,12999175.0
440,2014-07-12,13010900.0
441,2014-07-13,13010900.0
442,2014-07-14,13010900.0
443,2014-07-15,13021825.0
444,2014-07-16,13021825.0
445,2014-07-17,13021825.0
446,2014-07-18,13034200.0
447,2014-07-19,13034200.0
448,2014-07-20,13034200.0
449,2014-07-21,13046475.0
450,2014-07-22,13046475.0
451,2014-07-23,13046475.0
452,2014-07-24,13057425.0
453,2014-07-25,13057425.0
454,2014-07-26,13057425.0
455,2014-07-27,13068875.0
456,2014-07-28,13068875.0
457,2014-07-29,13068875.0
458,2014-07-30,13080375.0
459,2014-07-31,13080375.0
460,2014-08-01,13080375.0
461,2014-08-02,13092275.0
462,2014-08-03,13092275.0
463,2014-08-04,13092275.0
464,2014-08-05,13102750.0
465,2014-08-06,13102750.0
466,2014-08-07,13102750.0
467,2014-08-08,13114525.0
468,2014-08-09,13114525.0
469,2014-08-10,13114525.0
470,2014-08-11,13127875.0
471,2014-08-12,13127875.0
472,2014-08-13,13127875.0
473,2014-08-14,13140575.0
474,2014-08-15,13140575.0
475,2014-08-16,13140575.0
476,2014-08-17,13153050.0
477,2014-08-18,13153050.0
478,2014-08-19,13153050.0
479,2014-08-20,13166525.0
480,2014-08-21,13166525.0
