,date,close
0,2013-04-28,134.21
1,2013-04-29,144.54
2,2013-04-30,139.0
3,2013-05-01,116.99
4,2013-05-02,105.21
5,2013-05-03,97.75
6,2013-05-04,112.5
7,2013-05-05,115.91
8,2013-05-06,112.3
9,2013-05-07,111.5
10,2013-05-08,113.57
11,2013-05-09,112.67
12,2013-05-10,117.2
13,2013-05-11,115.24
14,2013-05-12,115.0
15,2013-05-13,117.98
16,2013-05-14,111.5
17,2013-05-15,114.22
18,2013-05-16,118.76
19,2013-05-17,123.01
20,2013-05-18,123.5
21,2013-05-19,121.99
22,2013-05-20,122.0
23,2013-05-21,122.88
24,2013-05-22,123.89
25,2013-05-23,126.7
26,2013-05-24,133.2
27,2013-05-25,131.98
28,2013-05-26,133.48
29,2013-05-27,129.74
30,2013-05-28,129.0
31,2013-05-29,132.3
32,2013-05-30,128.8
33,2013-05-31,129.0
34,2013-06-01,129.3
35,2013-06-02,122.29
36,2013-06-03,122.22
37,2013-06-04,121.42
38,2013-06-05,121.65
39,2013-06-06,118.0
40,2013-06-07,111.5
41,2013-06-08,108.3
42,2013-06-09,100.0
43,2013-06-10,106.35
44,2013-06-11,108.9
45,2013-06-12,108.15
46,2013-06-13,104.0
47,2013-06-14,99.98
48,2013-06-15,99.99
49,2013-06-16,99.51
50,2013-06-17,101.7
51,2013-06-18,107.4
52,2013-06-19,108.25
53,2013-06-20,110.15
54,2013-06-21,109.5
55,2013-06-22,108.3
56,2013-06-23,107.6
57,2013-06-24,102.74
58,2013-06-25,103.95
59,2013-06-26,104.0
60,2013-06-27,101.44
61,2013-06-28,94.65
62,2013-06-29,94.99
63,2013-06-30,96.61
64,2013-07-01,88.05
65,2013-07-02,90.13
66,2013-07-03,77.53
67,2013-07-04,80.53
68,2013-07-05,68.43
69,2013-07-06,70.28
70,2013-07-07,74.56
71,2013-07-08,76.52
72,2013-07-09,76.69
73,2013-07-10,86.76
74,2013-07-11,88.98
75,2013-07-12,93.59
76,2013-07-13,98.13
