,date,open,high,low,close,volume,market_cap,daily_return
0,2013-04-28,135.3,135.98,132.1,134.21,-,1488566728,
1,2013-04-29,134.44,147.49,134.0,144.54,-,1603768865,0.07696892928991872
2,2013-04-30,144.0,146.93,134.05,139.0,-,1542813125,-0.0383284903832849
3,2013-05-01,139.0,139.89,107.72,116.99,-,1298954594,-0.15834532374100718
4,2013-05-02,116.38,125.6,92.28,105.21,-,1168517495,-0.10069236686896321
5,2013-05-03,106.25,108.13,79.1,97.75,-,1085995169,-0.07090580743275343
6,2013-05-04,98.1,115.0,92.5,112.5,-,1250316563,0.15089514066496168
7,2013-05-05,112.9,118.8,107.14,115.91,-,1288693176,0.030311111111111178
8,2013-05-06,115.98,124.66,106.64,112.3,-,1249023060,-0.031144853765852853
9,2013-05-07,112.25,113.44,97.7,111.5,-,1240593600,-0.007123775601068583
10,2013-05-08,109.6,115.78,109.6,113.57,-,1264049202,0.01856502242152458
11,2013-05-09,113.2,113.46,109.26,112.67,-,1254535382,-0.00792462798274185
12,2013-05-10,112.8,122.0,111.55,117.2,-,1305479080,0.04020591106771998
13,2013-05-11,117.7,118.68,113.01,115.24,-,1284207489,-0.016723549488054656
14,2013-05-12,115.64,117.45,113.43,115.0,-,1281982625,-0.0020826102047899475
15,2013-05-13,114.82,118.7,114.5,117.98,-,1315710011,0.025913043478260844
16,2013-05-14,117.98,119.8,110.25,111.5,-,1243874488,-0.054924563485336475
17,2013-05-15,111.4,115.81,103.5,114.22,-,1274623813,0.024394618834080672
18,2013-05-16,114.22,118.76,112.2,118.76,-,1325726787,0.03974785501663458
19,2013-05-17,118.21,125.3,116.57,123.01,-,1373723882,0.03578646008757147
20,2013-05-18,123.5,125.25,122.3,123.5,-,1379574546,0.0039834159824403415
21,2013-05-19,123.21,124.5,119.57,121.99,-,1363204703,-0.012226720647773304
22,2013-05-20,122.5,123.62,120.12,122.0,-,1363709900,8.19739322894808e-05
23,2013-05-21,122.02,123.0,121.21,122.88,-,1374013440,0.00721311475409836
24,2013-05-22,122.89,124.0,122.0,123.89,-,1385778993,0.00821940104166674
25,2013-05-23,123.8,126.93,123.1,126.7,-,1417769833,0.022681410929050072
26,2013-05-24,126.3,133.85,125.72,133.2,-,1491070770,0.051302288871349466
27,2013-05-25,133.1,133.22,128.9,131.98,-,1477958233,-0.009159159159159103
28,2013-05-26,131.99,136.0,130.62,133.48,-,1495293015,0.011365358387634528
29,2013-05-27,133.5,135.46,124.7,129.74,-,1454029510,-0.028019178903206376
30,2013-05-28,129.77,130.58,125.6,129.0,-,1446189975,-0.005703715122552855
31,2013-05-29,129.0,132.59,127.66,132.3,-,1483734578,0.0255813953488373
32,2013-05-30,132.25,132.25,127.0,128.8,-,1445053941,-0.026455026455026398
33,2013-05-31,128.8,129.9,126.4,129.0,-,1447870200,0.0015527950310558758
34,2013-06-01,128.82,129.78,127.2,129.3,-,1451916165,0.0023255813953488857
35,2013-06-02,129.3,129.4,115.05,122.29,-,1373837500,-0.054215003866976086
36,2013-06-03,122.5,122.5,116.0,122.22,-,1373708058,-0.0005724098454493731
37,2013-06-04,120.74,123.84,119.1,121.42,-,1365337545,-0.006545573555882811
38,2013-06-05,121.4,123.47,119.9,121.65,-,1368486469,0.0018942513589195187
39,2013-06-06,121.9,123.1,117.25,118.0,-,1327960200,-0.030004110152075714
40,2013-06-07,118.97,119.0,106.42,111.5,-,1255258638,-0.05508474576271183
41,2013-06-08,111.0,111.42,107.3,108.3,-,1219717920,-0.028699551569506765
42,2013-06-09,107.89,108.99,88.5,100.0,-,1126642500,-0.07663896583564167
43,2013-06-10,100.44,110.1,95.0,106.35,-,1198638945,0.06349999999999989
44,2013-06-11,106.35,109.6,104.0,108.9,-,1227874725,0.023977433004231496
45,2013-06-12,109.0,111.79,106.73,108.15,-,1219969853,-0.00688705234159781
46,2013-06-13,108.78,110.3,100.53,104.0,-,1173637400,-0.038372630605640334
47,2013-06-14,103.95,104.7,98.0,99.98,-,1128709292,-0.03865384615384615
48,2013-06-15,100.0,103.7,98.0,99.99,-,1129245604,0.00010002000400066713
49,2013-06-16,99.8,101.6,98.95,99.51,-,1124306272,-0.004800480048004707
50,2013-06-17,99.9,102.21,99.0,101.7,-,1149418485,0.022007838408200087
51,2013-06-18,101.95,111.11,101.03,107.4,-,1214216070,0.05604719764011801
52,2013-06-19,107.05,110.22,105.75,108.25,-,1224193838,0.007914338919925434
53,2013-06-20,108.25,114.3,107.5,110.15,-,1246104920,0.01755196304849882
54,2013-06-21,111.29,114.99,107.68,109.5,-,1239214238,-0.005901044030866998
55,2013-06-22,109.5,109.96,107.51,108.3,-,1226110328,-0.010958904109589107
56,2013-06-23,108.2,108.8,106.23,107.6,-,1218626490,-0.006463527239150557
57,2013-06-24,107.9,108.33,100.98,102.74,-,1163935726,-0.045167286245353155
58,2013-06-25,102.09,106.47,101.01,103.95,-,1178086140,0.01177730192719495
59,2013-06-26,103.33,105.49,102.79,104.0,-,1179105200,0.0004810004810005264
60,2013-06-27,104.0,104.0,101.1,101.44,-,1150468023,-0.024615384615384595
61,2013-06-28,101.74,101.74,92.33,94.65,-,1073887457,-0.06693611987381698
62,2013-06-29,94.66,99.99,93.0,94.99,-,1078198524,0.003592181722134047
63,2013-06-30,95.0,98.12,94.22,96.61,-,1096957771,0.017054426781766496
64,2013-07-01,97.51,97.66,86.3,88.05,-,1000065296,-0.08860366421695476
65,2013-07-02,88.05,92.3,87.51,90.13,-,1024082228,0.02362294151050537
66,2013-07-03,90.4,90.98,76.98,77.53,-,881233116,-0.13979806945523132
67,2013-07-04,78.89,83.11,72.0,80.53,-,915618609,0.038694698826260865
68,2013-07-05,79.99,80.0,65.53,68.43,-,778411179,-0.15025456351670174
69,2013-07-06,68.5,75.0,66.82,70.28,-,799741619,0.02703492620195802
70,2013-07-07,68.75,74.56,66.62,74.56,-,848838979,0.060899260102447395
71,2013-07-08,76.5,80.0,72.6,76.52,-,871457940,0.026287553648068673
72,2013-07-09,76.0,78.3,72.52,76.69,-,873841849,0.0022216414009410546
73,2013-07-10,76.72,87.0,76.2,86.76,-,988957719,0.1313078628243578
74,2013-07-11,88.0,90.28,85.08,88.98,-,1014650063,0.025587828492392717
75,2013-07-12,88.98,104.0,88.17,93.59,-,1067634684,0.05180939536974605
76,2013-07-13,93.99,98.25,88.06,98.13,-,1119796120,0.04850945613847624
77,2013-07-14,98.7,98.7,92.86,94.69,-,1080917760,-0.03505553857128296
78,2013-07-15,93.61,101.9,93.11,98.4,-,1123658944,0.039180483683599165
79,2013-07-16,98.89,99.86,96.14,97.45,-,1113217032,-0.009654471544715437
80,2013-07-17,96.71,99.97,96.18,98.5,-,1125658000,0.010774756285274467
81,2013-07-18,98.5,98.8,86.2,90.58,-,1035512825,-0.08040609137055843
82,2013-07-19,90.07,95.2,87.8,92.17,-,1054083771,0.017553543828659812
83,2013-07-20,92.0,93.1,89.27,89.39,-,1022707665,-0.030161657806227593
84,2013-07-21,89.82,91.95,88.0,90.76,-,1038798980,0.015326099116232283
85,2013-07-22,92.0,92.0,90.08,91.61,-,1048939081,0.00936535918907011
86,2013-07-23,91.6,96.82,91.6,95.56,-,1094484058,0.0431175635847616
87,2013-07-24,95.56,95.99,93.0,94.51,-,1082848325,-0.010987861029719492
88,2013-07-25,94.5,97.33,93.87,96.9,-,1110587858,0.02528832927732516
89,2013-07-26,96.95,97.47,96.0,96.02,-,1100902800,-0.009081527347781337
90,2013-07-27,96.02,97.0,93.0,94.12,-,1079491697,-0.01978754426161211
91,2013-07-28,94.4,100.58,94.0,99.76,-,1144602838,0.059923501912452215
92,2013-07-29,98.6,102.5,98.46,101.2,-,1161619140,0.014434643143544479
93,2013-07-30,101.49,107.99,100.47,107.99,-,1240092366,0.06709486166007905
94,2013-07-31,107.95,111.34,103.88,106.09,-,1218777834,-0.017594221687193157
95,2013-08-01,106.21,108.0,103.01,104.0,-,1195225200,-0.01970025450089552
96,2013-08-02,104.86,108.0,101.21,104.5,-,1201487185,0.004807692307692291
97,2013-08-03,104.5,105.78,102.0,104.0,-,1196226508,-0.004784688995215336
98,2013-08-04,104.95,105.95,103.52,105.14,-,1209797378,0.010961538461538467
99,2013-08-05,105.12,107.77,105.0,106.22,-,1222677176,0.010272018261365812
100,2013-08-06,106.72,107.38,105.56,106.75,-,1229098150,0.004989644134814508
101,2013-08-07,106.75,106.75,106.75,106.75,-,1229098150,0.0
102,2013-08-08,106.75,106.75,101.26,103.0,-,1187105900,-0.03512880562060894
103,2013-08-09,103.07,105.75,101.93,102.8,-,1185307130,-0.001941747572815511
104,2013-08-10,102.8,103.9,102.41,103.0,-,1188153925,0.0019455252918287869
105,2013-08-11,103.0,105.19,102.75,105.0,-,1211789250,0.01941747572815533
106,2013-08-12,105.0,108.0,103.5,106.64,-,1231248581,0.015619047619047643
107,2013-08-13,106.99,109.35,104.65,109.0,-,1259042650,0.02213053263315823
108,2013-08-14,109.56,115.0,108.0,112.56,-,1300656724,0.03266055045871563
109,2013-08-15,112.56,113.25,109.0,109.99,-,1271404657,-0.022832267235252335
110,2013-08-16,110.0,112.3,108.52,108.99,-,1260352119,-0.009091735612328344
111,2013-08-17,108.99,113.75,108.22,113.5,-,1312996375,0.041379943114047135
112,2013-08-18,112.75,114.69,112.0,113.5,-,1313544013,0.0
113,2013-08-19,113.38,123.06,111.77,119.0,-,1377725475,0.048458149779735615
114,2013-08-20,119.0,123.01,117.51,121.21,-,1403829641,0.01857142857142846
115,2013-08-21,121.21,124.91,119.68,123.3,-,1428698678,0.0172428017490307
116,2013-08-22,123.3,123.5,120.6,121.15,-,1404437433,-0.017437145174371338
117,2013-08-23,122.0,122.0,118.44,118.5,-,1374309422,-0.021873710276516745
118,2013-08-24,118.51,121.39,118.02,120.04,-,1392768092,0.012995780590717265
119,2013-08-25,119.6,122.99,119.17,122.11,-,1417198897,0.017244251916027853
120,2013-08-26,122.11,122.75,119.93,120.06,-,1393847159,-0.0167881418393252
121,2013-08-27,120.07,127.24,120.07,126.5,-,1469193138,0.05363984674329503
122,2013-08-28,126.48,127.32,122.62,122.62,-,1424675798,-0.030671936758893237
123,2013-08-29,122.62,123.7,122.21,122.39,-,1422584866,-0.001875713586690586
124,2013-08-30,122.35,135.75,120.99,133.49,-,1552288465,0.09069368412452006
125,2013-08-31,133.09,140.89,132.72,135.35,-,1574672051,0.01393362798711495
126,2013-09-01,135.14,145.81,134.81,138.34,-,1610215347,0.02209087550794253
127,2013-09-02,138.63,146.5,134.89,135.85,-,1581969854,-0.017999132571924314
