date,close
29/04/2013,376.35
30/04/2013,376.27
1/05/2013,377.17
2/05/2013,377.47
3/05/2013,375.17
6/05/2013,374.9
7/05/2013,374.93
8/05/2013,375.43
9/05/2013,375.12
10/05/2013,373.27
13/05/2013,372.94
14/05/2013,372.33
15/05/2013,372.56
16/05/2013,374.2
17/05/2013,372.58
20/05/2013,372.5
21/05/2013,372.95
22/05/2013,371.59
23/05/2013,371.65
24/05/2013,371.95
27/05/2013,371.66
28/05/2013,369.69
29/05/2013,369.52
30/05/2013,369.16
31/05/2013,368.08
3/06/2013,368.35
4/06/2013,367.69
5/06/2013,367.42
6/06/2013,367.75
7/06/2013,366.18
10/06/2013,365.29
11/06/2013,365.22
12/06/2013,364.33
13/06/2013,365.17
14/06/2013,366.41
17/06/2013,365.65
18/06/2013,365.48
19/06/2013,362.93
20/06/2013,359.42
21/06/2013,357.93
24/06/2013,356.42
25/06/2013,355.4
26/06/2013,356.61
27/06/2013,357.87
28/06/2013,358.8
1/07/2013,359.17
2/07/2013,359.84
3/07/2013,359.34
4/07/2013,359.13
5/07/2013,355.57
8/07/2013,357.22
9/07/2013,357.89
10/07/2013,357.37
11/07/2013,359.69
12/07/2013,359.35
15/07/2013,360.45
16/07/2013,361.21
17/07/2013,362.09
18/07/2013,361.6
19/07/2013,362.82
22/07/2013,363.42
23/07/2013,363.05
24/07/2013,361.72
25/07/2013,361.3
26/07/2013,362.31
29/07/2013,361.82
30/07/2013,361.56
31/07/2013,361.79
1/08/2013,359.46
2/08/2013,361.54
5/08/2013,360.83
6/08/2013,360.81
7/08/2013,361.46
8/08/2013,361.82
9/08/2013,361.86
12/08/2013,361.3
13/08/2013,359.27
14/08/2013,359.25
15/08/2013,358.11
16/08/2013,356.89
19/08/2013,355.82
20/08/2013,356.83
21/08/2013,355.98
22/08/2013,355.45
23/08/2013,357.1
26/08/2013,357.69
27/08/2013,359.29
28/08/2013,358.2
29/08/2013,359.08
30/08/2013,359.5
2/09/2013,358.32
3/09/2013,357.83
4/09/2013,356.99
5/09/2013,355.13
6/09/2013,355.48
9/09/2013,356.38
10/09/2013,355.31
11/09/2013,356.06
12/09/2013,356.25
13/09/2013,356.32
16/09/2013,356.72
17/09/2013,357.3
18/09/2013,359.82
19/09/2013,359.47
20/09/2013,360.08
23/09/2013,360.45
24/09/2013,361.78
25/09/2013,362.43
26/09/2013,361.73
27/09/2013,361.91
30/09/2013,361.68
1/10/2013,361.24
2/10/2013,361.83
3/10/2013,362.25
4/10/2013,361.78
7/10/2013,362.24
8/10/2013,362.25
9/10/2013,361.93
10/10/2013,361.83
11/10/2013,362.22
14/10/2013,361.49
15/10/2013,361.93
16/10/2013,363.23
17/10/2013,365
18/10/2013,365.28
21/10/2013,365.08
22/10/2013,366.86
23/10/2013,367.29
24/10/2013,366.59
25/10/2013,367.01
28/10/2013,366.97
29/10/2013,367.1
30/10/2013,366.94
31/10/2013,366.86
1/11/2013,365.57
4/11/2013,365.92
5/11/2013,364.73
6/11/2013,364.9
7/11/2013,365.63
8/11/2013,363.14
11/11/2013,363.06
12/11/2013,362.82
13/11/2013,363.49
14/11/2013,364.48
15/11/2013,364.54
18/11/2013,365.62
19/11/2013,364.97
20/11/2013,363.62
21/11/2013,364.15
22/11/2013,364.94
25/11/2013,365.39
